はいおか,灰岡
はいかた,拝形
はいかわ,配川
はいかわ,佩川
はいがき,灰垣
はいき,拝生
はいごう,拝郷
はいごう,拜郷
はいごし,林越
はいさ,羽井佐
はいさき,灰崎
はいし,羽石
はいし,拝司
はいし,拝師
はいし,葉石
はいしま,（くさかんむりに配）島
はいしま,島
はいしま,配島
はいじま,島
はいじま,配島
はいせん,拝仙
はいそと,灰外
はいたに,灰谷
はいだ,灰田
はいだ,拝田
はいだまたいら,灰玉平
はいづか,灰塚
はいでん,拝殿
はいと,灰戸
はいとう,灰藤
はいとう,拝藤
はいにわ,灰庭
はいの,灰野
はいの,拝野
はいはら,拜原
はいば,灰庭
はいばら,埴原
はいばら,生原
はいばら,拜原
はいぶち,灰渕
はいもと,灰本
はいや,灰谷
はいやま,灰山
はえいわ,榮岩
はえうち,生内
はえぬき,萌抜
はえぬき,萠抜
はえの,波江野
はえばら,南風原
はえばる,南風原
はお,羽尾
はおか,羽岡
はおり,羽織
はかく,羽角
はかごし,墓越
はかた,（翅の支のないもの）片
はかた,羽片
はかた,羽方
はかた,波方
はかた,博多
はかた,博田
はかた,墓田
はかたや,博多屋
はかま,袴
はかま,袴間
はかまた,袴田
はかまたに,袴谷
はかまだ,袴田
はかまつか,袴塚
はかまづか,袴塚
はかり,計
はかりの,計野
はかりや,計屋
はが,（土へんに並）
はが,羽下
はが,羽賀
はが,祝賀
はが,波賀
はが,塀和
はが,芳我
はが,芳賀
はが,葉賀
はが,垪和
はがい,羽貝
はがさき,羽ヶ崎
はがぬま,芳賀沼
はがね,羽金
はがね,鋼鉄
はがね,刄金
はがの,波賀野
はがみ,羽上
はがみ,葉上
はがり,葉狩
はがわ,羽川
はき,波木
はきあい,吐合
はきい,波木井
はきた,吐田
はきもり,掃守
はきら,羽明
はぎ,（萩の秋が穐）
はぎ,羽儀
はぎ,羽木
はぎ,萩
はぎい,波木居
はぎいけ,萩池
はぎいわ,萩岩
はぎう,萩生
はぎうだ,萩生田
はぎうち,萩内
はぎお,萩尾
はぎおか,萩岡
はぎくら,萩倉
はぎぐち,萩口
はぎさか,萩坂
はぎさき,萩崎
はぎさこ,萩迫
はぎさわ,萩沢
はぎさわ,萩澤
はぎざわ,萩澤
はぎした,萩下
はぎした,兀下
はぎしま,萩島
はぎた,萩田
はぎたに,萩谷
はぎなか,萩中
はぎにわ,萩庭
はぎの,萩野
はぎのした,萩野下
はぎのもり,萩森
はぎのや,萩野谷
はぎはら,萩原
はぎひら,萩平
はぎま,萩間
はぎまえ,萩前
はぎみね,萩嶺
はぎもと,萩元
はぎもと,萩本
はぎもり,萩森
はぎや,萩屋
はぎや,萩谷
はぎやま,萩山
はぎゅうだ,萩生田
はぎり,羽切
はぎわき,萩脇
はぎわら,（萩の秋が穐）
はぎわら,（萩の秋が穐）原
はぎわら,萩原
はく,白
はく,葉久
はくい,羽喰
はくい,伯井
はくいし,白石
はくがわ,柏川
はくし,白子
はくすい,伯水
はくすい,白水
はくせい,白清
はくた,伯田
はくた,白田
はくた,迫田
はくと,白戸
はくとう,白藤
はくの,伯野
はくの,白野
はくば,白馬
はくま,白間
はくや,泊谷
はくや,白谷
はくら,羽倉
はくら,土倉
はくらく,白樂
はぐい,羽喰
はぐら,羽倉
はぐろ,羽黒
はぐろ,歯黒
はけた,羽毛田
はけた,八桁
はけだ,羽毛田
はげ,羽下
はげやま,（山へんに玄）山
はこい,箱井
はこいし,箱石
はこいわ,箱岩
はこう,波光
はこえ,箱江
はこおか,箱岡
はこがわ,箱川
はこぎ,箱木
はこざき,箱（崎の大が立）
はこざき,箱崎
はこざき,筥崎
はこしま,箱島
はこしま,箱嶋
はこじま,箱島
はこた,箱田
はこたに,箱谷
はこだ,箱田
はこだて,函館
はこもり,箱守
はこやま,箱山
はさ,葉佐
はさい,葉佐井
はさか,羽坂
はさか,葉坂
はさき,波崎
はさこ,羽迫
はさこ,端迫
はさたに,架谷
はさたに,波佐谷
はさだ,羽佐田
はさだ,狭田
はさだ,波早田
はさだ,挾田
はさば,枷場
はさば,狹場
はさま,挟間
はさま,狭間
はさま,波佐間
はさま,挾間
はさもと,挾本
はざ,羽座
はざおか,羽座岡
はざか,羽坂
はざき,羽（崎の大が立）
はざき,羽崎
はざと,羽里
はざの,硲野
はざま,羽間
はざま,羽佐間
はざま,羽様
はざま,間
はざま,狭間
はざま,波佐間
はざま,迫
はざま,迫間
はざま,硲
はざま,挾間
はざま,狹間
はざま,玻座真
はざま,陌間
はざわ,羽沢
はざわ,羽澤
はし,橋
はし,端
はし,吐師
はし,土師
はし,波紫
はし,稗
はし,枦
はしい,橋井
はしうち,橋内
はしうど,間人
はしうら,橋浦
はしお,橋尾
はしお,走尾
はしお,箸尾
はしおか,橋岡
はしかた,箸方
はしかべ,橋壁
はしかみ,橋上
はしかわ,橋川
はしがいと,橋垣戸
はしがき,橋垣
はしがた,橋形
はしがみ,橋上
はしがや,橋ケ谷
はしがや,橋ヶ谷
はしきた,橋北
はしくら,橋倉
はしぐち,橋口
はしさこ,橋迫
はしざか,橋坂
はしざき,橋崎
はしざき,端崎
はしざわ,橋澤
はしした,橋下
はししん,橋新
はしじり,橋尻
はしすぎ,橋杉
はしずか,橋塚
はしずめ,橋詰
はしずめ,橋爪
はしずめ,橋都
はしずめ,端詰
はしぞえ,橋添
はしたに,橋谷
はしたに,端谷
はしだ,橋田
はしだ,端田
はしだ,櫨田
はしだて,外立
はしだて,橋立
はしづ,橋都
はしづか,橋（土へんに冢）
はしづか,橋塚
はしづみ,橋積
はしづめ,橋詰
はしづめ,橋爪
はしづめ,橋都
はしてら,橋寺
はしで,走出
はしと,橋戸
はしとみ,橋冨
はしど,橋戸
はしど,橋渡
はしどこ,橋床
はしなか,橋中
はしなが,橋永
はしなが,橋長
はしに,橋新
はしの,橋野
はしの,端野
はしのくち,橋ノ口
はしのくち,橋之口
はしはら,橋原
はしば,羽柴
はしば,羽芝
はしば,橋場
はしば,橋端
はしば,橋塲
はしば,榛葉
はしば,波柴
はしばた,橋端
はしま,羽島
はしま,橋間
はしみ,橋見
はしみつ,橋満
はしむかい,橋向
はしむら,橋村
はしめ,橋目
はしもと,橋元
はしもと,橋本
はしもと,端本
はしもと,箸本
はしもと,櫨本
はしもと,觜本
はしもり,橋森
はしや,橋谷
はしや,橋弥
はしや,橋彌
はしや,端谷
はしやだ,橋谷田
はしやま,橋山
はしやま,端山
はしやま,枦山
はしら,柱
はしらたに,柱谷
はしらもと,柱本
はしり,走り
はしりで,走出
はしろ,羽白
はしわき,橋脇
はしをか,橋岡
はじ,羽地
はじ,土師
はじ,櫨
はじ,輿
はじ,輿沁
はじか,羽鹿
はじかの,初鹿野
はじの,土師野
はじはた,櫨畑
はじま,羽島
はじま,羽嶋
はじめ,一
はじめ,元
はじめ,朔
はじめ,長
はじょう,羽城
はじり,羽尻
はじろ,羽白
はす,蓮
はすい,蓮井
はすいけ,蓮池
はすえ,蓮江
はすお,蓮生
はすお,蓮尾
はすおか,蓮岡
はすか,蓮香
はすかわ,蓮川
はすし,蓮子
はすした,蓮下
はすだ,蓮田
はすぬま,蓮沼
はすの,蓮野
はすま,蓮間
はすみ,羽角
はすみ,羽住
はすみ,荷見
はすみ,蓮見
はすみ,蓮実
はすみ,蓮實
はすむら,蓮村
はすもと,蓮元
はすもと,蓮本
はすやま,蓮山
はすわ,蓮輪
はず,羽豆
はずい,筈井
はずく,波津久
はずたに,筈谷
はずま,弭間
はずみ,羽住
はずみ,羽澄
はせ,羽瀬
はせ,馳
はせ,長谷
はせ,土師
はせ,波瀬
はせい,長谷井
はせお,長谷尾
はせがわ,沙魚川
はせがわ,長谷河
はせがわ,長谷川
はせがわ,波瀬川
はせくら,支倉
はせざわ,馳澤
はせだ,長谷田
はせち,長谷地
はせなか,長谷中
はせの,長谷野
はせば,長谷場
はせひら,馳平
はせべ,初瀬部
はせべ,長谷部
はせみ,長谷見
はせむら,長谷村
はせめ,長谷目
はせもり,葉勢森
はせや,長谷屋
はせやま,長谷山
はぜ,土師
はぜ,櫨
はぜかわ,沙魚川
はぜかわ,櫨川
はぜき,櫨木
はぜした,櫨下
はぜのき,穗木
はぜばやし,櫨林
はぜもと,櫨元
はぜもと,櫨本
はぜもと,枦本
はぜやま,櫨山
はぜやま,枦山
はそべ,羽曾部
はそべ,羽曽部
はそめ,羽染
はぞめ,羽染
はた,羽多
はた,羽田
はた,機
はた,秦
はた,泰
はた,端
はた,波多
はた,幡
はた,幡多
はた,畑
はた,畠
はた,葉田
はた,籏
はたい,畑井
はたうえ,畑上
はたうち,畑内
はたうら,畑浦
はたえ,波多江
はたえ,波田江
はたえ,畑江
はたえだ,畠枝
はたお,畑尾
はたお,畠生
はたおか,畑岡
はたおか,畠岡
はたかけ,幡掛
はたかま,幡鎌
はたかわ,幡川
はたが,畑賀
はたがき,幡垣
はたがき,籏垣
はたがみ,畑上
はたがわ,畑川
はたぐち,畑口
はたけ,羽竹
はたけ,畑毛
はたけ,畠
はたけざわ,畑沢
はたけだ,畑田
はたけだ,畠田
はたけだ,圃田
はたけなか,畠中
はたけはら,畑原
はたけやま,畑山
はたけやま,畠山
はたけやま,圃山
はたこし,波多腰
はたごうち,畑河内
はたごし,波多腰
はたさ,畑佐
はたさき,端崎
はたさき,畑崎
はたさこ,畑迫
はたさわ,畠澤
はたざき,畑崎
はたざわ,畑沢
はたざわ,畑澤
はたざわ,畠沢
はたざわ,畠澤
はたした,畑下
はたしま,畑島
はたしま,畑嶋
はたじ,幡地
はたじ,畑地
はたじま,畑島
はたじま,畑嶋
はたじり,畑尻
はたせ,畑（瀬の頁が刀の下に貝）
はたせ,畑瀬
はたせ,畠瀬
はたぞえ,畑添
はたたに,機谷
はたたに,畑谷
はただ,幡田
はただ,畑田
はただ,畠田
はたち,旗智
はたち,畑地
はたち,籏智
はたて,旗手
はたて,幡手
はたと,畑戸
はたな,泰名
はたなか,羽田中
はたなか,幡中
はたなか,畑中
はたなか,畑仲
はたなか,畠中
はたなか,圃中
はたに,羽谷
はたに,羽溪
はたの,羽多野
はたの,羽田野
はたの,秦野
はたの,波多野
はたの,波田埜
はたの,波田野
はたの,波夛野
はたの,幡野
はたの,畑埜
はたの,畑農
はたの,畑野
はたの,畠野
はたの,葉田野
はたの,籏埜
はたの,籏野
はたはら,畑原
はたば,幡場
はたばた,畑端
はたばやし,畑林
はたひら,畠平
はたふく,籏福
はたふじ,畠藤
はたぶ,幡生
はたべ,幡部
はたべ,畑辺
はたほこ,籏鉾
はたま,畑間
はたま,畠間
はたまる,幡丸
はたみや,幡宮
はたむら,畑村
はたもち,旗持
はたもち,籏持
はたもと,旗本
はたもと,端本
はたもと,畑本
はたもと,畠本
はたもと,籏本
はたや,旗谷
はたや,幡谷
はたや,畑谷
はたやす,畠安
はたやま,幡山
はたやま,畑山
はたやま,畠山
はだ,羽田
はだ,秦
はだ,波多
はだ,波田
はだ,葉田
はだき,葉抱
はだせ,肌勢
はだち,羽立
はだつき,肌附
はだな,葉棚
はだに,羽谷
はだの,羽田野
はだの,秦野
はだの,波多野
はだの,裸野
はだま,羽玉
はだま,葉玉
はだめ,甚目
はちうま,八馬
はちおし,八尾師
はちかわ,八川
はちが,八賀
はちがた,鉢形
はちき,鉢木
はちき,蜂木
はちくぼ,八久保
はちけん,八軒
はちごう,八郷
はちさこ,鉢迫
はちじょう,八條
はちじん,八陳
はちす,八洲
はちす,八須
はちす,鉢須
はちす,蜂須
はちす,蜂巣
はちす,蓮
はちすか,蜂須賀
はちすが,鉢須賀
はちたに,蜂谷
はちだ,八田
はちとり,八鳥
はちの,八野
はちの,鉢野
はちのえ,八戸
はちのき,鉢木
はちのた,八野田
はちのだ,八野田
はちのへ,八戸
はちほんぎ,八本木
はちぼし,八星
はちま,八馬
はちまん,八幡
はちみね,鉢峰
はちみね,鉢嶺
はちむら,八村
はちむら,鉢村
はちむれ,八牟禮
はちもり,八森
はちもんじ,八文字
はちや,八屋
はちや,八谷
はちや,八矢
はちや,蜂屋
はちや,蜂谷
はちや,蜂矢
